sex,yearofbirth,primary2004,messages,primary2006,hhsize,treatment
male,1941,0,Civic Duty,0,2,Treatment
female,1947,0,Civic Duty,0,2,Treatment
male,1951,0,Hawthorne,1,3,Treatment
female,1950,0,Hawthorne,1,3,Treatment
female,1982,0,Hawthorne,1,3,Treatment
male,1981,0,Control,0,3,Control
female,1959,0,Control,1,3,Control
male,1956,0,Control,1,3,Control
female,1968,0,Control,0,2,Control
male,1967,0,Control,0,2,Control
male,1941,1,Control,1,1,Control
male,1945,0,Hawthorne,0,2,Treatment
female,1949,0,Hawthorne,1,2,Treatment
female,1969,1,Control,0,1,Control
female,1967,1,Control,1,2,Control
male,1961,1,Control,1,2,Control
female,1943,0,Control,1,1,Control
male,1939,0,Neighbors,1,1,Treatment
male,1968,0,Control,1,2,Control
female,1971,0,Control,1,2,Control
female,1959,0,Control,0,4,Control
female,1983,0,Control,0,4,Control
male,1954,0,Control,0,4,Control
male,1979,0,Control,0,4,Control
male,1965,0,Civic Duty,0,2,Treatment
female,1965,0,Civic Duty,0,2,Treatment
female,1958,0,Control,0,1,Control
male,1946,0,Neighbors,0,2,Treatment
female,1932,0,Neighbors,0,2,Treatment
male,1949,1,Control,0,2,Control
female,1961,0,Control,0,2,Control
female,1968,0,Control,0,1,Control
male,1961,0,Control,0,2,Control
female,1959,0,Control,0,2,Control
male,1956,1,Neighbors,1,3,Treatment
female,1965,1,Neighbors,1,3,Treatment
male,1985,0,Neighbors,1,3,Treatment
female,1955,1,Control,0,1,Control
male,1963,0,Control,0,2,Control
female,1970,1,Control,0,2,Control
male,1969,0,Civic Duty,0,1,Treatment
male,1948,1,Control,1,1,Control
male,1953,0,Hawthorne,0,1,Treatment
female,1959,0,Control,0,1,Control
male,1971,0,Civic Duty,1,2,Treatment
female,1968,0,Civic Duty,1,2,Treatment
female,1961,1,Control,0,1,Control
female,1969,0,Control,0,2,Control
male,1970,0,Control,0,2,Control
female,1951,0,Control,0,2,Control
male,1950,0,Control,1,2,Control
female,1915,0,Control,0,1,Control
male,1948,0,Hawthorne,0,3,Treatment
male,1984,0,Hawthorne,0,3,Treatment
female,1957,0,Hawthorne,0,3,Treatment
male,1924,0,Neighbors,0,3,Treatment
female,1965,0,Neighbors,0,3,Treatment
male,1970,0,Neighbors,0,3,Treatment
female,1947,0,Control,0,2,Control
male,1941,0,Control,1,2,Control
male,1960,1,Control,1,2,Control
female,1964,1,Control,1,2,Control
male,1968,0,Control,0,2,Control
female,1967,0,Control,1,2,Control
female,1986,0,Control,0,2,Control
male,1948,0,Control,0,2,Control
female,1946,0,Civic Duty,0,1,Treatment
male,1938,1,Hawthorne,1,2,Treatment
female,1948,0,Hawthorne,0,2,Treatment
male,1963,1,Civic Duty,1,1,Treatment
female,1930,0,Control,0,2,Control
male,1927,0,Control,0,2,Control
female,1937,1,Control,1,2,Control
male,1934,1,Control,1,2,Control
male,1966,0,Control,1,2,Control
female,1969,0,Control,0,2,Control
male,1948,1,Hawthorne,1,1,Treatment
male,1926,0,Control,0,1,Control
male,1939,0,Neighbors,0,1,Treatment
female,1946,0,Neighbors,0,2,Treatment
male,1941,0,Neighbors,0,2,Treatment
female,1943,0,Control,1,1,Control
male,1983,0,Control,0,3,Control
female,1937,1,Control,0,3,Control
male,1934,1,Control,1,3,Control
female,1958,1,Hawthorne,1,1,Treatment
male,1951,1,Control,0,1,Control
male,1946,1,Control,0,2,Control
female,1950,1,Control,0,2,Control
male,1976,1,Hawthorne,1,2,Treatment
female,1979,0,Hawthorne,1,2,Treatment
male,1963,1,Neighbors,1,1,Treatment
female,1970,1,Neighbors,1,1,Treatment
female,1918,0,Control,0,1,Control
female,1965,1,Civic Duty,0,1,Treatment
male,1939,1,Control,1,1,Control
male,1933,0,Control,0,2,Control
female,1935,0,Control,0,2,Control
female,1943,0,Civic Duty,0,2,Treatment
male,1944,0,Civic Duty,0,2,Treatment
female,1947,0,Control,1,2,Control
male,1945,0,Control,1,2,Control
